Adverb,Number,Categorie,Assertivité,Temporalité,Expérience,Description
plus loin,31,default value,default value,default value,default value,default value
plus longtemps,20,default value,default value,presque,default value,default value
plus particulièrement,15,default value,default value,default value,default value,default value
plus profondément,5,default value,default value,default value,default value,description
plus promptement,6,default value,default value,tot,default value,default value
plus près,13,default value,default value,default value,default value,default value
plus rien,17,default value,default value,default value,default value,default value
plus souvent,29,default value,presque,presque,default value,default value
plus sûrement,7,default value,presque,default value,default value,default value
plus tard,45,default value,default value,suite,default value,default value
plus tôt,11,default value,default value,tot,default value,default value
plus vivement,12,default value,default value,default value,plus,default value
plutôt,140,logique,presque,default value,default value,default value
point,790,négation,default value,default value,default value,default value
point alors,6,default value,default value,default value,default value,default value
point assez,5,default value,default value,default value,moins,default value
point encore,31,default value,default value,suite,default value,default value
point ici,7,default value,default value,default value,default value,default value
positivement,5,manière_modal,default value,default value,plus,default value
pourquoi,40,interrogation,default value,default value,default value,default value
pourquoi ne,9,default value,default value,default value,default value,default value
pourtant,34,logique,default value,default value,default value,default value
presque,404,quantité,default value,default value,default value,default value
presque absolument,7,default value,presque,default value,default value,default value
presque aussi,10,default value,default value,default value,default value,default value
presque aussitôt,8,default value,default value,tot,default value,default value
presque autant,7,default value,default value,default value,default value,default value
presque entièrement,12,default value,default value,default value,default value,default value
presque jamais,17,default value,default value,presque,default value,default value
presque partout,9,default value,default value,default value,default value,default value
presque pas,6,default value,presque,default value,default value,default value
presque rien,11,default value,default value,default value,default value,default value
presque toujours,72,default value,default value,presque,default value,default value
presque tout,7,default value,default value,default value,default value,default value
presque uniquement,8,default value,default value,peu,default value,default value
principalement,59,affirmation,presque,default value,default value,default value
probablement,25,affirmation_modal,presque,default value,default value,default value
probablement pas,5,default value,peu,default value,default value,default value
profondément,18,manière,default value,default value,default value,default value
promptement,38,temps,default value,tot,default value,default value
proprement,23,manière,default value,default value,plus,default value
près,135,lieu,default value,default value,default value,default value
précisément,62,default value,default value,default value,default value,default value
publiquement,23,manière,default value,default value,default value,default value
puis,17,liaison,default value,suite,default value,default value
puissamment,8,manière,default value,default value,plus,default value
purement,40,manière,default value,default value,plus,default value
péniblement,7,manière,default value,default value,moins,default value
qu',52,default value,default value,default value,default value,default value
que,80,interrogation,default value,default value,default value,default value
que trop,15,default value,default value,default value,default value,default value
quelquefois,205,temps,peu,peu,default value,default value
quelquefois même,9,default value,default value,peu,default value,default value
rapidement,20,temps,default value,tot,default value,default value
rarement,51,quantité,default value,peu,default value,default value
relativement,11,logique,default value,default value,default value,default value
rien,271,négation,default value,default value,default value,default value
rien moins,8,default value,default value,default value,default value,default value
rien ne,59,default value,default value,default value,default value,default value
rigoureusement,21,manière,default value,default value,plus,default value
récemment,14,temps,default value,passe,default value,default value
réciproquement,14,manière,default value,default value,default value,description
réellement,28,default value,default value,default value,default value,default value
régulièrement,5,default value,default value,fréquence,default value,default value
sagement,5,manière,default value,default value,plus,default value
scrupuleusement,7,manière,default value,default value,plus,default value
seulement,186,quantité_logique,default value,default value,default value,default value
seulement comme,5,default value,default value,default value,default value,default value
si,930,quantité,default value,default value,default value,default value
si aisément,6,default value,default value,default value,plus,default value
si bien,46,default value,default value,default value,plus,default value
si loin,5,default value,default value,default value,default value,default value
si longtemps,28,default value,default value,presque,default value,default value
si peu,35,default value,default value,default value,default value,default value
si près,6,default value,default value,default value,default value,default value
si puissamment,5,default value,default value,default value,plus,default value
si rarement,8,default value,default value,peu,default value,default value
si souvent,30,default value,presque,presque,default value,default value
si vite,6,default value,default value,tot,default value,default value
simplement,11,manière,default value,default value,default value,default value
simultanément,6,temps,default value,maintenant,default value,default value
sincèrement,6,manière,default value,default value,plus,default value
singulièrement,14,manière,default value,default value,default value,default value
sitôt,9,temps,default value,tot,default value,default value
soigneusement,15,manière,default value,default value,plus,default value
solennellement,7,manière,default value,default value,plus,default value
souvent,387,temps,presque,presque,default value,default value
souvent même,14,presque,presque,default value,default value,default value
souvent plus,5,presque,presque,default value,default value,default value
souvent si,6,presque,presque,default value,default value,default value
spécialement,9,modal,default value,default value,default value,description
subitement,27,temps,default value,tot,default value,default value
successivement,95,manière,default value,suite,default value,default value
suffisamment,7,quantité,default value,default value,plus,default value
sur-le-champ,9,default value,default value,maintenant,default value,default value
surtout,369,affirmation,certain,default value,default value,default value
surtout plus,5,default value,certain,default value,default value,default value
séparément,18,manière,default value,default value,default value,description
sérieusement,14,manière,default value,default value,plus,default value
sûrement,7,affirmation,presque,default value,default value,default value
tant,542,quantité,default value,default value,default value,default value
tantôt,89,temps,default value,suite,default value,default value
tantôt comme,5,default value,default value,default value,default value,default value
tard,5,temps,default value,tard,default value,default value
tellement,28,quantité,default value,default value,default value,default value
tendrement,6,manière,default value,default value,plus,default value
totalement,14,manière,tout,default value,default value,default value
toujours,631,temps,certain,eternel,default value,default value
toujours plus,9,default value,certain,eternel,default value,default value
toujours si,7,default value,certain,eternel,default value,default value
toujours très,6,default value,certain,eternel,default value,default value
tout,537,quantité,tout,default value,default value,default value
tout aussi,14,default value,default value,default value,default value,default value
tout bien,5,default value,default value,default value,default value,default value
tout récemment,5,default value,default value,passe,default value,default value
toutefois,42,logique,default value,default value,default value,default value
tranquillement,22,manière,default value,default value,plus,default value
trop,443,quantité,default value,default value,default value,default value
trop bien,9,default value,default value,default value,moins,default value
trop facilement,6,default value,default value,default value,moins,default value
trop loin,5,default value,default value,default value,moins,default value
trop longtemps,10,default value,default value,default value,moins,default value
trop peu,27,default value,default value,default value,moins,default value
trop souvent,46,default value,default value,default value,moins,default value
trop tard,6,default value,default value,default value,moins,default value
trop tôt,11,default value,default value,tot,default value,default value
très,439,quantité,default value,default value,default value,default value
très bien,10,default value,default value,default value,plus,default value
très peu,29,default value,default value,default value,default value,default value
tôt,7,temps,default value,tot,default value,default value
unanimement,8,manière_quantité,default value,default value,default value,description
uniquement,48,quantité,default value,default value,default value,default value
utilement,9,manière,default value,default value,plus,default value
vainement,20,manière,default value,default value,moins,default value
vice,5,manière,default value,default value,default value,default value
vis-à-vis,8,default value,default value,default value,default value,default value
vite,9,temps,default value,tot,default value,default value
vivement,42,manière,default value,tot,default value,default value
voici,12,affirmation,default value,default value,default value,default value
voilà,31,affirmation,default value,default value,default value,default value
volontairement,7,manière,default value,default value,plus,default value
volontiers,13,affirmation,default value,default value,default value,default value
vraiment,59,affirmation,presque,default value,default value,default value
vraisemblablement,7,modal,presque,default value,default value,default value
véritablement,25,manière_affirmation,certain,default value,default value,default value
également,205,liaison,default value,default value,default value,description
éminemment,9,modal,default value,default value,default value,default value
éternellement,5,temps,default value,eternel,default value,default value
étroitement,5,manière,default value,default value,default value,description
évidemment,8,affirmation,certain,default value,default value,default value
